"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator data by Lower Super Output Area - Income Deprivation"
""

Filters:
Indicator: Income deprivation (percentage of population)
Year: 2017

"","All Ages ","","","","","","","","","","","","","","","All Ages "
"","0 - 15 ","0 - 18 ","16 - 64 ",65+ ,"0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 34 ","35 - 44 ","45 - 54 ","55 - 64 ","65 - 74 ",75+ ,"."
"Cardiff 024A ",7,5,4,23,12,6,5,1,1,4,7,9,13,24,22,8
"Cardiff 024B ",8,8,5,5,8,3,14,7,9,5,3,6,2,3,8,5
"Cardiff 024C ",12,11,5,4,17,14,8,9,5,9,8,3,2,1,6,6
"Cardiff 024D ",8,8,5,7,7,10,8,7,4,5,5,6,2,4,10,6
"Cardiff 029A ",22,22,11,17,23,22,21,24,8,10,10,11,11,16,19,13
"Cardiff 029B ",2,2,3,6,1,2,4,0,5,2,2,3,4,2,13,3
"Cardiff 029C ",12,12,10,19,13,10,12,18,2,8,11,12,22,27,16,12
"Cardiff 029D ",11,12,12,18,12,12,10,23,12,9,11,16,16,9,26,13
"Cardiff 030A ",28,29,12,22,21,17,59,32,4,9,22,21,20,12,39,14
"Cardiff 030B ",15,17,9,19,24,9,10,28,7,5,13,8,14,15,26,11
"Cardiff 030C ",27,22,9,34,22,30,33,9,3,12,17,22,30,33,36,13
"Cardiff 030D ",17,19,9,20,10,17,27,27,3,8,12,17,14,16,27,11
"Cardiff 030E ",25,23,9,35,15,35,31,12,4,9,15,19,13,29,43,13
"Cardiff 033A ",47,43,11,38,46,55,42,24,2,14,26,23,22,27,51,17
"Cardiff 033B ",40,42,17,40,38,44,37,56,8,12,22,39,33,63,29,20
"Cardiff 033C ",29,24,9,45,37,17,31,2,3,13,23,35,34,91,20,11
"Cardiff 033D ",27,26,16,24,37,24,13,18,14,15,15,16,18,15,34,18
"Cardiff 033E ",35,33,13,35,41,27,39,21,5,10,20,22,26,30,41,17
"Cardiff 033F ",43,39,27,46,40,59,34,20,9,19,39,48,51,40,51,31
"Cardiff 034A ",12,13,7,26,11,10,15,18,5,2,6,10,12,18,34,10
"Cardiff 034B ",12,13,7,26,13,15,6,22,8,4,9,6,10,25,26,10
"Cardiff 034C ",10,14,8,23,8,7,14,44,6,3,4,12,12,16,32,10
"Cardiff 034D ",18,19,7,15,20,14,18,33,6,4,6,11,7,11,21,10
"Cardiff 035A ",3,4,4,11,4,3,4,9,10,3,2,5,2,6,16,5
"Cardiff 035B ",10,10,9,26,19,8,4,10,9,7,7,8,14,16,40,11
"Cardiff 035C ",12,12,8,14,7,11,20,12,8,10,11,4,5,13,15,10
"Cardiff 035D ",27,27,12,29,30,25,24,29,13,8,11,13,15,26,35,17
"Cardiff 040A ",21,22,12,23,22,18,23,30,15,9,11,13,11,17,28,15
"Cardiff 040B ",35,34,14,33,42,29,32,30,14,12,14,12,18,29,38,20
"Cardiff 040C ",40,38,20,29,27,39,58,24,16,14,21,22,24,24,33,26
"Cardiff 040D ",15,15,7,23,17,10,20,9,17,4,3,12,12,15,28,11
"Cardiff 040E ",29,29,13,21,27,25,35,36,9,10,9,17,21,23,20,17
"Cardiff 042A ",50,50,26,51,49,45,56,56,15,18,26,34,36,50,53,34
"Cardiff 042B ",34,34,24,70,32,36,33,40,10,15,28,33,47,71,69,28
"Cardiff 042C ",40,43,29,52,32,48,41,68,17,19,27,39,39,59,45,34
"Cardiff 042D ",30,31,17,39,24,27,40,40,8,11,20,23,28,35,43,21
"Cardiff 027A ",20,21,9,18,16,18,29,26,13,7,9,12,3,11,29,13
"Cardiff 027B ",24,24,16,31,28,23,22,18,21,18,10,16,15,29,35,20
"Cardiff 027C ",33,32,17,29,34,31,36,25,23,15,30,14,9,18,35,22
"Cardiff 027D ",61,57,32,32,77,55,45,40,43,39,31,27,18,29,35,39
"Cardiff 031A ",35,32,23,44,36,31,37,14,17,21,25,22,30,39,48,30
"Cardiff 031B ",9,9,5,13,8,8,10,13,7,4,4,6,4,11,16,7
"Cardiff 031C ",52,49,27,26,52,50,55,34,23,30,28,22,29,26,26,33
"Cardiff 031D ",15,15,9,18,12,18,16,16,8,8,11,8,11,11,24,12
"Cardiff 039A ",53,49,32,47,59,49,51,23,35,38,30,31,29,45,51,40
"Cardiff 039B ",66,66,38,45,63,76,61,68,42,36,40,29,30,60,32,48
"Cardiff 039C ",64,62,36,42,53,74,66,50,25,39,34,37,32,36,49,45
"Cardiff 039D ",65,62,35,43,63,71,61,38,36,38,38,31,34,42,45,44
"Cardiff 039E ",67,64,43,40,68,69,62,45,44,49,46,30,40,41,39,51
"Cardiff 041A ",54,50,33,49,60,44,58,31,32,41,28,29,34,47,53,40
"Cardiff 041B ",25,27,19,21,30,26,16,36,19,21,23,12,14,13,31,20
"Cardiff 041C ",47,44,25,35,43,53,45,31,18,34,23,23,23,36,32,32
"Cardiff 041D ",45,43,28,32,46,52,35,32,28,29,29,30,23,31,32,33
"Cardiff 043A ",59,59,35,43,63,64,50,61,45,36,31,34,19,35,55,43
"Cardiff 043B ",21,20,8,14,29,21,14,17,13,8,5,5,8,12,16,11
"Cardiff 043C ",53,52,32,41,60,54,44,40,35,37,27,24,37,39,42,39
"Cardiff 043D ",13,12,5,13,19,14,8,9,5,5,6,7,2,9,18,8
"Cardiff 045A ",35,35,18,17,31,33,42,36,18,19,16,15,17,16,19,21
"Cardiff 045B ",48,46,29,33,50,48,47,36,25,29,35,29,22,29,41,34
"Cardiff 045C ",45,44,24,35,45,50,41,34,29,25,25,17,19,32,40,30
"Cardiff 045D ",41,39,32,38,38,43,41,27,27,32,27,35,38,38,38,35
"Cardiff 018A ",4,4,2,3,2,1,8,9,1,1,2,3,1,0,7,2
"Cardiff 018B ",7,7,5,18,2,6,15,6,7,3,4,6,4,15,21,8
"Cardiff 018C ",6,6,4,5,5,8,5,6,4,6,2,4,6,4,7,5
"Cardiff 018D ",2,2,2,6,2,3,1,2,7,5,2,0,1,4,9,3
"Cardiff 021A ",6,6,6,6,3,4,9,10,4,4,7,5,6,4,8,6
"Cardiff 021B ",13,13,6,10,8,15,18,18,6,4,5,7,8,8,14,8
"Cardiff 021C ",9,9,5,3,13,6,5,13,9,5,5,4,3,0,7,6
"Cardiff 021D ",10,8,3,6,14,8,10,1,1,4,6,5,2,5,8,5
"Cardiff 025A ",11,12,5,16,11,15,5,15,1,5,8,10,4,13,18,6
"Cardiff 025B ",38,23,5,36,29,50,36,8,1,14,17,20,27,32,41,9
"Cardiff 025C ",16,17,7,29,11,11,30,25,2,5,12,9,7,16,37,10
"Cardiff 025D ",17,16,5,17,20,13,19,11,2,9,7,10,11,10,23,7
"Cardiff 028A ",25,26,6,29,16,42,18,32,1,9,17,14,28,20,38,8
"Cardiff 028B ",13,11,2,10,21,11,8,7,1,3,7,10,5,3,15,3
"Cardiff 028C ",35,32,4,30,40,34,31,19,1,11,20,22,15,17,45,7
"Cardiff 028D ",23,23,5,29,26,16,28,25,1,14,13,15,15,30,28,7
"Cardiff 028E ",35,35,9,26,47,43,22,36,2,16,28,21,27,19,32,12
"Cardiff 032A ",23,10,3,35,30,30,9,1,0,6,18,31,30,45,29,5
"Cardiff 032C ",13,12,2,35,19,7,17,11,0,8,14,37,23,28,41,3
"Cardiff 032D ",32,23,3,36,36,26,32,6,0,14,18,39,69,27,39,4
"Cardiff 032E ",28,11,3,35,23,53,27,4,1,17,10,21,54,31,36,3
"Cardiff 032F ",2,2,2,7,5,0,0,0,0,1,3,8,10,5,10,2
"Cardiff 032G ",0,1,1,6,0,0,0,4,1,1,1,1,3,1,15,1
"Cardiff 036A ",47,48,22,47,44,46,52,54,13,17,24,26,33,47,47,29
"Cardiff 036B ",66,38,12,73,74,62,62,8,2,15,26,30,49,75,71,19
"Cardiff 036C ",64,61,31,37,70,67,59,44,19,21,33,37,56,49,26,39
"Cardiff 036D ",44,44,21,42,46,49,37,43,13,15,19,30,30,39,46,27
"Cardiff 036E ",50,51,24,41,50,40,61,59,16,20,28,30,30,49,31,29
"Cardiff 037A ",36,36,15,22,34,31,47,33,21,11,17,17,8,18,27,20
"Cardiff 037B ",61,59,31,45,60,77,46,51,34,30,31,29,28,45,46,40
"Cardiff 037C ",34,34,17,35,29,29,44,34,13,11,17,21,23,27,47,22
"Cardiff 037D ",51,50,31,45,59,51,41,40,31,31,28,31,31,37,54,38
"Cardiff 038A ",36,36,15,30,23,54,38,35,20,12,13,16,19,27,34,21
"Cardiff 038B ",37,38,20,41,35,41,37,40,19,15,23,19,25,39,44,26
"Cardiff 038C ",49,48,26,38,52,51,42,45,26,20,24,33,26,33,45,32
"Cardiff 038D ",67,66,36,46,60,65,83,60,28,29,35,45,40,56,32,44
"Cardiff 044A ",40,36,17,44,34,45,43,22,5,16,24,26,23,30,67,25
"Cardiff 044B ",27,29,22,33,25,28,28,38,12,16,21,31,28,25,40,24
"Cardiff 044C ",36,35,20,45,46,29,33,29,13,19,19,17,34,33,58,26
"Cardiff 044D ",34,35,17,34,26,36,42,47,14,15,13,23,21,34,35,23
"Cardiff 044E ",39,40,25,40,29,39,49,43,9,18,31,36,25,37,43,31
"Cardiff 046A ",32,31,14,19,34,27,35,27,10,15,15,13,9,12,28,18
"Cardiff 046B ",28,26,14,30,21,29,32,21,9,12,20,12,14,20,43,19
"Cardiff 046C ",28,29,23,50,27,24,33,33,17,12,24,24,42,51,50,27
"Cardiff 046D ",46,47,30,40,48,43,48,51,18,27,32,32,34,49,31,35
"Cardiff 048A ",19,21,3,9,9,37,48,100,1,1,6,6,7,5,28,5
"Cardiff 048B ",30,31,5,6,20,26,60,39,4,2,6,8,8,9,3,7
"Cardiff 048C ",28,30,4,17,17,28,45,47,1,2,5,12,3,5,32,6
"Cardiff 048D ",7,9,3,24,7,9,0,27,2,2,2,5,5,44,1,4
"Cardiff 048E ",10,11,3,10,10,11,9,24,4,2,5,3,3,6,25,4
"Cardiff 049A ",40,42,25,84,47,34,39,52,10,15,30,36,49,75,92,34
"Cardiff 049B ",44,43,20,43,55,33,42,36,16,12,18,35,24,37,49,26
"Cardiff 049C ",34,35,18,53,35,34,31,45,12,9,15,27,43,56,50,24
"Cardiff 049D ",24,23,3,21,20,51,19,11,2,2,7,2,7,21,21,7
"Cardiff 049E ",16,20,5,23,14,8,41,58,3,3,4,13,11,26,19,7
"Cardiff 049F ",34,36,16,25,17,49,45,52,6,9,26,41,33,34,22,18
"Rhondda Cynon Taf 005A ",30,31,19,25,31,28,33,33,26,17,19,19,15,17,36,23
"Rhondda Cynon Taf 005B ",37,37,25,30,40,36,35,35,27,25,22,25,22,25,37,28
"Rhondda Cynon Taf 005C ",32,31,14,12,33,30,32,26,15,14,12,15,11,11,13,18
"Rhondda Cynon Taf 005D ",43,41,19,20,47,39,42,36,18,19,22,19,15,16,26,23
"Rhondda Cynon Taf 005E ",46,44,23,26,46,44,48,35,22,24,25,18,24,21,31,29
"Rhondda Cynon Taf 005F ",41,39,24,25,54,39,31,28,26,28,26,22,16,20,32,27
"Rhondda Cynon Taf 006A ",22,21,10,18,30,22,15,13,16,16,7,9,5,10,32,14
"Rhondda Cynon Taf 006B ",25,26,17,23,42,20,17,31,16,18,16,14,16,18,28,19
"Rhondda Cynon Taf 006C ",32,30,18,21,31,28,36,23,16,18,14,20,18,18,23,21
"Rhondda Cynon Taf 006D ",77,67,28,30,88,81,61,36,31,28,34,22,22,25,38,37
"Rhondda Cynon Taf 006E ",25,23,21,23,29,21,23,14,14,20,18,31,22,18,28,22
"Rhondda Cynon Taf 008A ",72,68,36,39,61,70,83,47,25,43,51,25,29,34,50,45
"Rhondda Cynon Taf 008B ",36,35,21,25,48,34,28,30,21,16,21,27,17,18,33,24
"Rhondda Cynon Taf 008C ",40,40,21,20,46,35,40,40,17,23,22,17,20,16,25,25
"Rhondda Cynon Taf 008D ",42,39,21,23,46,35,45,25,23,19,23,15,26,15,37,26
"Rhondda Cynon Taf 012A ",24,21,11,16,38,22,13,13,16,10,8,10,10,11,21,14
"Rhondda Cynon Taf 012B ",56,55,32,38,64,48,57,52,25,33,39,32,22,31,50,38
"Rhondda Cynon Taf 012C ",32,30,16,30,43,29,25,21,16,15,13,16,16,29,32,21
"Rhondda Cynon Taf 012D ",11,12,10,17,9,14,11,16,11,8,5,9,14,16,18,11
"Rhondda Cynon Taf 001A ",19,20,13,15,17,18,22,26,16,14,12,10,13,12,20,15
"Rhondda Cynon Taf 001B ",26,27,14,17,23,27,26,30,13,10,12,11,16,14,21,16
"Rhondda Cynon Taf 001C ",51,51,28,24,46,43,77,47,26,25,29,27,26,16,39,31
"Rhondda Cynon Taf 001D ",50,49,28,30,45,47,57,43,29,25,24,30,26,24,38,33
"Rhondda Cynon Taf 001E ",61,60,35,44,71,52,61,54,31,35,30,39,32,37,59,42
"Rhondda Cynon Taf 001F ",21,21,11,14,20,20,21,26,12,7,13,8,11,10,23,13
"Rhondda Cynon Taf 002A ",31,30,16,19,36,38,19,27,24,13,16,12,20,16,21,19
"Rhondda Cynon Taf 002B ",11,11,10,13,17,8,8,10,10,16,8,8,12,10,15,11
"Rhondda Cynon Taf 002C ",35,35,21,25,39,25,40,36,16,22,26,16,19,21,29,25
"Rhondda Cynon Taf 002D ",31,29,16,29,41,24,25,17,16,17,15,18,15,15,49,21
"Rhondda Cynon Taf 003A ",21,24,15,19,18,24,20,44,17,10,17,14,12,15,23,17
"Rhondda Cynon Taf 003B ",37,36,21,28,35,36,41,31,28,19,17,23,19,25,32,25
"Rhondda Cynon Taf 003C ",13,14,8,10,17,12,11,17,11,8,8,7,6,4,17,9
"Rhondda Cynon Taf 003D ",35,36,19,21,44,30,33,40,20,20,20,15,16,15,30,22
"Rhondda Cynon Taf 003E ",6,5,3,7,8,4,6,5,5,4,2,2,2,6,10,4
"Rhondda Cynon Taf 004A ",16,16,11,19,20,18,12,14,11,15,8,9,15,14,25,14
"Rhondda Cynon Taf 004B ",32,32,16,16,27,31,37,30,16,15,26,12,9,8,25,19
"Rhondda Cynon Taf 004C ",36,36,23,35,44,31,31,43,27,23,18,23,17,32,39,27
"Rhondda Cynon Taf 004D ",7,8,5,8,7,5,10,9,8,4,6,2,4,5,13,6
"Rhondda Cynon Taf 009A ",30,28,15,23,34,38,18,21,19,19,13,12,13,13,33,20
"Rhondda Cynon Taf 009B ",26,25,17,23,31,28,20,21,13,25,19,14,15,19,28,20
"Rhondda Cynon Taf 009C ",48,47,29,23,53,44,47,44,36,32,30,23,24,15,35,31
"Rhondda Cynon Taf 009D ",62,59,35,35,77,60,49,49,29,51,35,28,31,34,37,40
"Rhondda Cynon Taf 013A ",36,33,15,20,35,37,38,18,16,17,16,12,11,15,28,20
"Rhondda Cynon Taf 013B ",66,66,41,36,64,75,61,62,57,36,42,38,28,31,45,47
"Rhondda Cynon Taf 013C ",40,40,22,22,60,34,30,37,30,19,22,27,11,17,27,26
"Rhondda Cynon Taf 013D ",58,55,26,31,59,58,58,38,25,30,30,23,22,28,34,32
"Rhondda Cynon Taf 017A ",31,32,13,19,31,30,32,35,15,9,20,13,8,15,24,17
"Rhondda Cynon Taf 017B ",23,23,13,18,26,26,17,20,6,17,17,10,10,13,25,15
"Rhondda Cynon Taf 017C ",14,14,7,22,12,11,18,15,7,6,10,7,4,12,30,12
"Rhondda Cynon Taf 017D ",30,29,18,29,28,29,33,24,13,17,22,19,19,24,35,22
"Rhondda Cynon Taf 017E ",48,45,26,32,48,58,41,30,16,26,29,24,33,33,32,31
"Rhondda Cynon Taf 017F ",19,20,12,20,19,20,19,25,11,10,11,9,15,17,25,15
"Rhondda Cynon Taf 020A ",20,20,12,16,22,22,16,21,8,15,11,10,12,15,19,15
"Rhondda Cynon Taf 020B ",47,44,28,37,62,41,37,32,32,31,21,27,26,31,50,33
"Rhondda Cynon Taf 020C ",50,48,29,36,48,52,51,32,30,29,28,31,26,31,42,35
"Rhondda Cynon Taf 020D ",32,32,18,21,25,44,30,33,11,23,15,19,17,16,27,21
"Rhondda Cynon Taf 007A ",24,26,17,27,22,30,21,36,13,19,17,16,15,16,39,20
"Rhondda Cynon Taf 007B ",55,49,27,36,55,50,60,31,25,26,34,22,28,38,35,34
"Rhondda Cynon Taf 007C ",46,45,23,26,44,47,47,38,19,23,28,19,23,18,36,28
"Rhondda Cynon Taf 007D ",38,38,21,25,30,46,41,36,18,21,23,17,18,17,33,25
"Rhondda Cynon Taf 010A ",32,29,13,14,45,37,22,20,24,14,12,10,8,8,21,16
"Rhondda Cynon Taf 010B ",31,31,13,22,44,28,25,28,13,13,13,12,12,17,27,18
"Rhondda Cynon Taf 010C ",34,32,18,27,38,35,29,27,20,18,20,11,18,23,34,22
"Rhondda Cynon Taf 010D ",33,33,17,21,35,29,36,34,18,25,17,13,11,23,18,21
"Rhondda Cynon Taf 010E ",19,20,14,20,25,21,13,21,16,14,14,12,13,19,22,17
"Rhondda Cynon Taf 011A ",22,22,15,22,26,22,19,21,16,14,13,11,18,14,30,18
"Rhondda Cynon Taf 011B ",19,19,6,13,17,11,29,19,11,7,5,5,4,5,24,10
"Rhondda Cynon Taf 011C ",30,30,26,32,32,22,39,28,25,27,28,25,26,25,40,28
"Rhondda Cynon Taf 011D ",35,35,15,26,34,45,27,31,15,14,18,14,11,19,35,21
"Rhondda Cynon Taf 014A ",35,30,14,24,63,24,24,12,15,18,12,15,9,25,23,19
"Rhondda Cynon Taf 014B ",47,46,26,29,64,59,30,42,26,29,28,24,21,24,35,31
"Rhondda Cynon Taf 014C ",47,48,26,34,42,49,52,52,22,26,26,25,24,29,39,32
"Rhondda Cynon Taf 014D ",19,18,14,17,19,18,20,15,15,15,15,12,12,16,19,15
"Rhondda Cynon Taf 014E ",32,32,14,25,38,25,36,29,10,15,21,8,14,14,37,19
"Rhondda Cynon Taf 014F ",39,37,19,30,47,42,32,28,20,20,26,14,12,23,40,24
"Rhondda Cynon Taf 014G ",48,46,27,30,52,56,39,38,21,33,28,24,26,24,39,32
"Rhondda Cynon Taf 016A ",60,56,25,31,87,58,38,33,33,29,23,19,23,19,47,33
"Rhondda Cynon Taf 016B ",28,29,16,22,24,27,33,32,9,18,18,16,12,18,26,19
"Rhondda Cynon Taf 016C ",30,28,18,24,37,23,30,19,24,17,18,16,16,23,24,21
"Rhondda Cynon Taf 016D ",25,25,15,25,30,30,18,24,14,11,13,17,15,18,32,18
"Rhondda Cynon Taf 018A ",39,40,21,32,44,34,39,47,21,19,26,19,17,28,37,26
"Rhondda Cynon Taf 018B ",29,31,12,23,28,33,27,38,14,11,14,8,11,16,31,17
"Rhondda Cynon Taf 018C ",40,40,25,43,57,32,30,42,18,27,26,21,26,34,54,31
"Rhondda Cynon Taf 018D ",23,22,13,23,19,30,21,18,15,12,12,12,14,18,31,17
"Rhondda Cynon Taf 018E ",29,29,17,21,25,29,31,29,14,17,15,15,16,15,28,20
"Rhondda Cynon Taf 018F ",43,40,19,28,54,45,28,29,15,13,21,26,17,21,39,24
"Rhondda Cynon Taf 023A ",22,22,13,29,30,15,22,23,16,9,12,12,13,19,45,17
"Rhondda Cynon Taf 023B ",44,41,24,30,55,36,42,26,26,24,30,18,25,29,33,29
"Rhondda Cynon Taf 023C ",30,28,15,23,20,32,36,18,8,14,16,16,18,19,33,19
"Rhondda Cynon Taf 023E ",42,41,21,30,43,36,44,36,19,22,23,21,16,26,37,27
"Rhondda Cynon Taf 023F ",6,7,4,17,8,4,6,11,5,6,3,2,4,7,25,6
"Rhondda Cynon Taf 023G ",18,18,12,16,13,13,27,18,8,11,15,11,12,15,18,14
"Rhondda Cynon Taf 024A ",27,28,17,26,31,25,27,32,11,16,16,16,18,21,32,21
"Rhondda Cynon Taf 024B ",22,24,10,13,13,27,26,31,8,11,14,8,6,5,23,13
"Rhondda Cynon Taf 024C ",48,45,29,32,55,46,42,26,29,32,30,29,25,28,40,34
"Rhondda Cynon Taf 024D ",13,12,5,11,7,13,18,7,7,5,3,4,5,8,15,7
"Rhondda Cynon Taf 029A ",13,13,4,12,13,14,14,9,10,3,4,3,2,11,15,7
"Rhondda Cynon Taf 029B ",17,17,8,20,13,17,24,19,10,5,8,11,8,15,29,11
"Rhondda Cynon Taf 029C ",28,28,17,23,34,24,25,29,17,17,17,16,14,17,40,20
"Rhondda Cynon Taf 029D ",9,9,4,13,9,7,11,6,5,6,3,3,4,11,14,6
"Rhondda Cynon Taf 030A ",6,7,5,9,8,6,4,13,3,8,2,4,5,2,20,6
"Rhondda Cynon Taf 030B ",5,4,3,7,5,5,4,2,3,4,3,2,3,4,15,4
"Rhondda Cynon Taf 030C ",17,18,11,16,19,15,18,27,12,11,10,10,9,10,23,13
"Rhondda Cynon Taf 030D ",9,9,6,7,14,7,9,6,4,9,5,5,7,8,7,7
"Rhondda Cynon Taf 030E ",23,25,20,32,30,17,22,40,17,17,17,23,20,27,36,23
"Rhondda Cynon Taf 031A ",11,12,5,13,6,15,14,15,4,4,5,6,7,11,17,7
"Rhondda Cynon Taf 031B ",36,37,24,38,42,33,34,41,30,17,21,23,27,28,48,29
"Rhondda Cynon Taf 031C ",8,8,4,6,10,6,8,11,4,5,3,4,3,3,9,5
"Rhondda Cynon Taf 031D ",3,3,2,3,0,2,5,1,2,4,1,2,1,2,4,2
"Rhondda Cynon Taf 031E ",5,5,2,5,3,6,5,4,6,2,2,2,2,4,6,3
"Rhondda Cynon Taf 031F ",19,19,10,24,17,15,26,25,10,8,8,10,13,13,39,15
"Rhondda Cynon Taf 015A ",46,45,30,43,50,44,41,39,29,34,29,25,30,40,47,36
"Rhondda Cynon Taf 015B ",39,35,18,27,46,43,30,20,19,30,12,11,22,18,43,23
"Rhondda Cynon Taf 015C ",38,36,20,24,42,35,36,28,24,19,21,20,15,18,32,24
"Rhondda Cynon Taf 015D ",26,26,12,18,26,27,26,25,13,15,13,10,9,17,18,16
"Rhondda Cynon Taf 015E ",5,5,5,17,2,2,9,8,5,4,5,4,5,15,20,6
"Rhondda Cynon Taf 019A ",28,28,14,21,29,31,23,28,16,11,14,18,8,15,30,18
"Rhondda Cynon Taf 019B ",18,19,13,16,31,11,16,23,23,16,10,10,9,12,25,15
"Rhondda Cynon Taf 019C ",29,28,12,29,17,38,34,28,11,11,14,12,8,22,34,19
"Rhondda Cynon Taf 019D ",8,8,8,15,12,9,3,10,12,11,7,7,6,9,21,9
"Rhondda Cynon Taf 019E ",32,32,14,19,30,28,39,32,11,13,14,14,13,17,21,18
"Rhondda Cynon Taf 021A ",29,27,12,18,28,30,29,18,11,14,8,12,13,12,26,16
"Rhondda Cynon Taf 021B ",27,26,19,38,14,30,48,25,12,13,22,31,23,37,39,23
"Rhondda Cynon Taf 021C ",13,13,8,10,12,5,21,14,8,12,5,6,5,7,13,9
"Rhondda Cynon Taf 021D ",13,14,11,13,19,12,10,23,18,13,7,8,12,11,16,12
"Rhondda Cynon Taf 021E ",27,26,12,17,24,33,26,21,12,16,13,9,9,15,19,15
"Rhondda Cynon Taf 021F ",36,34,17,35,43,40,27,21,19,19,14,14,17,26,42,25
"Rhondda Cynon Taf 021G ",14,15,7,16,15,16,12,24,12,6,7,6,2,8,24,10
"Rhondda Cynon Taf 022A ",25,25,17,31,17,30,31,28,16,10,24,22,14,22,42,21
"Rhondda Cynon Taf 022B ",43,38,19,41,34,49,49,21,13,23,17,22,19,41,41,28
"Rhondda Cynon Taf 022C ",57,55,36,33,66,54,52,45,27,38,39,38,28,27,45,41
"Rhondda Cynon Taf 022D ",30,29,11,30,26,33,33,25,4,11,18,12,14,24,37,15
"Rhondda Cynon Taf 022E ",20,17,7,13,25,14,21,10,1,11,13,17,13,14,13,9
"Rhondda Cynon Taf 022F ",24,12,3,18,26,31,19,3,0,10,5,14,8,16,20,5
"Rhondda Cynon Taf 025A ",37,36,21,27,44,28,39,33,25,22,19,19,19,21,38,26
"Rhondda Cynon Taf 025B ",19,17,6,7,12,35,11,12,6,9,7,6,2,3,12,8
"Rhondda Cynon Taf 025C ",10,10,4,5,7,19,4,10,4,4,4,6,2,3,10,5
"Rhondda Cynon Taf 025D ",19,19,11,12,17,19,21,17,12,8,15,12,5,8,17,12
"Rhondda Cynon Taf 026A ",17,16,8,21,17,21,12,12,10,8,6,8,6,16,26,12
"Rhondda Cynon Taf 026B ",37,34,24,42,41,32,39,21,20,32,22,18,31,35,52,30
"Rhondda Cynon Taf 026C ",13,13,7,13,20,9,10,14,11,5,7,7,7,7,21,9
"Rhondda Cynon Taf 026D ",19,18,9,21,19,18,21,11,10,9,8,9,12,15,29,13
"Rhondda Cynon Taf 027B ",9,9,6,8,14,8,6,7,6,7,6,5,3,4,16,7
"Rhondda Cynon Taf 027C ",2,2,2,5,4,0,2,4,7,0,3,2,2,2,11,3
"Rhondda Cynon Taf 027D ",13,14,6,9,11,14,13,19,8,5,4,5,4,5,16,8
"Rhondda Cynon Taf 027E ",11,13,6,11,10,11,11,29,8,5,6,6,3,7,19,8
"Rhondda Cynon Taf 027F ",4,4,3,7,7,2,4,5,6,5,2,2,5,3,10,4
"Rhondda Cynon Taf 027G ",4,5,2,4,6,4,4,6,3,2,3,2,1,3,5,3
"Rhondda Cynon Taf 028A ",11,12,7,11,15,7,10,22,10,6,7,6,6,8,15,8
"Rhondda Cynon Taf 028B ",28,28,14,21,26,31,27,24,27,13,10,14,11,14,35,18
"Rhondda Cynon Taf 028C ",14,13,7,17,23,11,7,5,9,13,7,4,3,9,34,9
"Rhondda Cynon Taf 028D ",10,9,5,10,10,13,7,4,4,7,5,5,2,8,14,7
"Rhondda Cynon Taf 028E ",28,27,14,23,33,26,27,23,16,15,14,11,10,20,26,18
"Rhondda Cynon Taf 028F ",40,41,26,32,49,46,28,46,20,33,21,24,24,24,41,31
"Merthyr Tydfil 004A ",45,44,30,36,51,34,50,39,36,25,28,36,24,38,34,34
"Merthyr Tydfil 004B ",26,28,16,23,23,32,25,38,18,10,20,13,19,20,26,20
"Merthyr Tydfil 004C ",40,39,26,41,47,39,33,38,18,17,32,29,26,31,54,31
"Merthyr Tydfil 004D ",24,23,19,24,21,35,19,20,24,11,21,19,21,26,22,21
"Merthyr Tydfil 005A ",23,23,13,15,27,17,25,23,19,12,9,12,11,12,18,15
"Merthyr Tydfil 005B ",16,16,7,16,21,15,13,13,9,6,8,6,7,10,23,10
"Merthyr Tydfil 005C ",34,33,18,25,23,42,34,28,14,23,17,14,17,25,24,22
"Merthyr Tydfil 005D ",14,12,9,13,10,12,21,6,13,8,10,9,8,12,14,11
"Merthyr Tydfil 006A ",23,23,15,19,21,24,24,22,20,14,14,14,13,16,24,17
"Merthyr Tydfil 006B ",33,31,17,19,41,36,22,24,24,19,17,14,13,18,19,21
"Merthyr Tydfil 006C ",41,43,29,31,51,42,31,56,19,26,37,31,26,32,30,32
"Merthyr Tydfil 006D ",28,24,10,15,29,26,28,13,8,14,10,8,10,13,17,14
"Merthyr Tydfil 006E ",33,31,17,24,28,41,31,22,12,20,13,19,18,24,25,22
"Merthyr Tydfil 006F ",25,24,15,17,26,24,24,19,10,16,17,17,11,15,20,17
"Merthyr Tydfil 007A ",28,28,14,24,34,26,25,25,15,14,17,11,11,24,24,18
"Merthyr Tydfil 007B ",10,9,5,10,8,16,8,7,5,6,5,4,6,7,17,7
"Merthyr Tydfil 007C ",23,23,15,16,37,16,20,22,27,14,14,13,10,12,22,16
"Merthyr Tydfil 007D ",26,27,15,24,28,16,37,30,19,9,19,13,14,23,25,19
"Merthyr Tydfil 007E ",28,26,13,20,26,27,33,17,18,13,15,11,11,19,22,17
"Merthyr Tydfil 002A ",33,32,22,36,36,30,34,26,24,17,30,21,21,29,46,27
"Merthyr Tydfil 002B ",27,26,10,15,25,32,24,22,10,13,12,8,6,12,20,14
